customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,TenureGroup,RevenueCategory,AvgChargePerMonth,TotalServices,ChargeCategory,CustomerValueScore,ContractRisk,AutoPayment,FiberOpticUser,SeniorHighChargeRisk,TenureContractRisk,HighMonthlyChargeRisk,ServiceEngagementScore,PaperlessBillingRisk,HasDependents,LongTermCustomer,RevenuePerService,ChurnScore
7590-VHVEG,Female,0,Yes,No,1,0,No phone service,0,0,1,0,0,0,0,Month-to-month,Yes,Electronic check,29.85,29.85,No,0-1 Year,Normal Revenue,14.925,1,Low,29.85,3,0,0,0.0,1,0,1,1,0,0,14.925,5
5575-GNVDE,Male,0,No,No,34,1,No,0,1,0,1,0,0,0,One year,No,Mailed check,56.95,1889.5,No,2-4 Years,Normal Revenue,53.98571428571429,3,Medium,1936.3,2,0,0,0.0,0,0,2,0,0,1,14.2375,2
3668-QPYBK,Male,0,No,No,2,1,No,0,1,1,0,0,0,0,Month-to-month,Yes,Mailed check,53.85,108.15,Yes,0-1 Year,Normal Revenue,36.05,3,Medium,107.7,3,0,0,0.0,1,0,2,1,0,0,13.4625,5
7795-CFOCW,Male,0,No,No,45,0,No phone service,0,1,0,1,1,0,0,One year,No,Bank transfer (automatic),42.3,1840.75,No,2-4 Years,Normal Revenue,40.016304347826086,3,Medium,1903.5,2,1,0,0.0,0,0,3,0,0,1,10.575,2
9237-HQITU,Female,0,No,No,2,1,No,0,0,0,0,0,0,0,Month-to-month,Yes,Electronic check,70.7,151.65,Yes,0-1 Year,Normal Revenue,50.55,1,High,141.4,3,0,0,0.0,1,1,0,1,0,0,35.35,6
9305-CDSKC,Female,0,No,No,8,1,Yes,0,0,0,1,0,1,1,Month-to-month,Yes,Electronic check,99.65,820.5,Yes,0-1 Year,High Revenue,91.16666666666669,4,High,797.2,3,0,0,0.0,1,1,3,1,0,0,19.93,6
1452-KIOVK,Male,0,No,Yes,22,1,Yes,0,0,1,0,0,1,0,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,No,1-2 Years,High Revenue,84.75652173913043,3,High,1960.2,3,1,0,0.0,0,1,2,1,1,0,22.275,5
6713-OKOMC,Female,0,No,No,10,0,No phone service,0,1,0,0,0,0,0,Month-to-month,No,Mailed check,29.75,301.9,No,0-1 Year,Normal Revenue,27.44545454545454,1,Low,297.5,3,0,0,0.0,1,0,1,0,0,0,14.875,4
7892-POOKP,Female,0,Yes,No,28,1,Yes,0,0,0,1,1,1,1,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes,2-4 Years,High Revenue,105.03620689655172,5,High,2934.4,3,0,0,0.0,0,1,4,1,0,1,17.466666666666665,5
6388-TABGU,Male,0,No,Yes,62,1,No,0,1,1,0,0,0,0,One year,No,Bank transfer (automatic),56.15,3487.95,No,4+ Years,Normal Revenue,55.364285714285714,3,Medium,3481.3,2,1,0,0.0,0,0,2,0,1,1,14.0375,2
9763-GRSKD,Male,0,Yes,Yes,13,1,No,0,1,0,0,0,0,0,Month-to-month,Yes,Mailed check,49.95,587.45,No,1-2 Years,Normal Revenue,41.96071428571429,2,Medium,649.35,3,0,0,0.0,0,0,1,1,1,0,16.650000000000002,4
7469-LKBCI,Male,0,No,No,16,1,No,0,0,0,0,0,0,0,Two year,No,Credit card (automatic),18.95,326.8,No,1-2 Years,Normal Revenue,19.223529411764705,1,Low,303.2,1,1,0,0.0,0,0,0,0,0,0,9.475,1
